,epoch,loss,recall 10
0,1,53.93505025,0.137931034
1,2,51.20011444,0.068965517
2,3,48.74416746,0.172413793
3,4,46.45789332,0.172413793
4,5,44.34704173,0.206896552
5,6,42.33700613,0.206896552
6,7,40.4334289,0.24137931
7,8,38.61129326,0.206896552
8,9,36.88035102,0.103448276
9,10,35.23161521,0.172413793
10,11,33.65198414,0.206896552
11,12,32.13090282,0.206896552
12,13,30.69553074,0.034482759
13,14,29.33648202,0.137931034
14,15,27.99846146,0.137931034
15,16,26.75176519,0.137931034
16,17,25.51883165,0.068965517
17,18,24.40158359,0.137931034
18,19,23.22417474,0.137931034
19,20,22.08502877,0.137931034
20,21,21.12038573,0.034482759
21,22,20.07491169,0.206896552
22,23,19.11165621,0.172413793
23,24,18.17909012,0.137931034
24,25,17.2956482,0.172413793
25,26,16.42192636,0.068965517
26,27,15.49219791,0.172413793
27,28,14.73362295,0.206896552
28,29,13.86515928,0.103448276
29,30,13.16836033,0.206896552
30,31,12.45819355,0.034482759
31,32,11.79034063,0.206896552
32,33,11.10275435,0.206896552
33,34,10.47711996,0.206896552
34,35,9.8112114,0.206896552
35,36,9.252823638,0.172413793
36,37,8.649053894,0.103448276
37,38,8.129613604,0.034482759
38,39,7.66737945,0.172413793
39,40,7.169781205,0.206896552
40,41,6.636442204,0.206896552
41,42,6.2170527,0.103448276
42,43,5.843928721,0.206896552
43,44,5.444195354,0.206896552
44,45,5.09641191,0.206896552
45,46,4.739649923,0.172413793
46,47,4.4261725,0.206896552
47,48,4.05622502,0.206896552
48,49,3.745941093,0.206896552
49,50,3.520823343,0.137931034
50,51,3.359528166,0.206896552
51,52,3.034642461,0.103448276
52,53,2.813818732,0.206896552
53,54,2.642977436,0.103448276
54,55,2.451798349,0.172413793
55,56,2.26015193,0.172413793
56,57,2.019217364,0.206896552
57,58,1.921586781,0.172413793
58,59,1.779461477,0.206896552
59,60,1.66035212,0.137931034
60,61,1.431711714,0.206896552
61,62,1.431034787,0.206896552
