,epoch,loss,recall 10
0,1,53.77166162,0
1,2,51.04315616,0
2,3,48.59701835,0.034482759
3,4,46.32965108,0
4,5,44.21234377,0
5,6,42.20331573,0
6,7,40.29974043,0.068965517
7,8,38.49198407,0
8,9,36.77170601,0
9,10,35.12099063,0.034482759
10,11,33.55460135,0
11,12,32.08788915,0
12,13,30.69084814,0
13,14,29.27219384,0
14,15,27.9894746,0
15,16,26.72228108,0.034482759
16,17,25.49222379,0.034482759
17,18,24.34277267,0
18,19,23.16467344,0.034482759
19,20,22.12632943,0.034482759
20,21,21.11830323,0.034482759
21,22,20.08866515,0.034482759
22,23,19.08453303,0
23,24,18.11254629,0.034482759
24,25,17.18846249,0.034482759
25,26,16.35050619,0.034482759
26,27,15.48780558,0.068965517
27,28,14.70321817,0.034482759
28,29,13.910204,0.034482759
29,30,13.12923255,0.034482759
30,31,12.41822313,0.068965517
31,32,11.72587674,0.034482759
32,33,11.0396653,0.034482759
33,34,10.43553014,0.034482759
34,35,9.802415144,0.068965517
35,36,9.270036294,0.068965517
36,37,8.745793528,0.068965517
37,38,8.137067203,0.068965517
38,39,7.691701681,0.068965517
39,40,7.158522049,0.068965517
40,41,6.642192245,0.034482759
41,42,6.229335606,0.068965517
42,43,5.823022983,0.103448276
43,44,5.479859333,0.103448276
44,45,5.046475135,0.068965517
45,46,4.685270556,0.068965517
46,47,4.330699169,0.068965517
47,48,4.054394226,0.068965517
48,49,3.783524971,0.103448276
49,50,3.530176763,0.103448276
50,51,3.29088269,0.103448276
51,52,3.015979324,0.068965517
52,53,2.762459355,0.103448276
53,54,2.626668856,0.172413793
54,55,2.426469429,0.103448276
55,56,2.23692476,0.103448276
56,57,2.038260478,0.103448276
57,58,1.931845804,0.103448276
58,59,1.771059666,0.103448276
59,60,1.65455919,0.137931034
60,61,1.496706677,0.137931034
61,62,1.470650903,0.137931034
62,63,1.357553805,0.137931034
63,64,1.216207033,0.172413793
64,65,1.20749554,0.172413793
65,66,1.070479214,0.172413793
66,67,1.017898456,0.137931034
67,68,0.891355731,0.172413793
68,69,0.908629915,0.172413793
